title,image,price,size,stock,description,item_category
Lifebuoy Soap Care & Protect 96gm,https://media-products.airliftexpress.com/large/9d32ec2f-6869-4b10-9d49-8ed1e5aeef63_lifebr.png,54,96 gm,23,"Deeply nourishing and hydrating, Lifebuoy Soap is a gentle cleanser which will leave your skin feeling smooth, soft and refreshed! 


The rich lather washes away dirt and bacteria while retaining your skin's natural moisture. Give your skin the best with Lifebuoy Soap! 
Add Lifebuoy Soap to your cart now and get your delivery under 30 minutes via Airlift Express.",4
Lifebuoy Herbal Strong Shampoo 90ml,https://media-products.airliftexpress.com/large/1c644612-5c20-47e3-ad23-e0153bb05adf_Lifebuoy%20Herbal%20Strong%20Shampoo%2090ml.jpeg,106,90 ml,54,"Leaving hair stronger and smoother, Lifebuoy Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Lifebuoy Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",4
"Lifebuoy Total 10 Germs Protection Hand Wash, 200ml",https://media-products.airliftexpress.com/large/bdbc3549-0957-43cb-b019-c5f5a4ebcd28_lifebuoy.png,199,200 ml,22,,4
Lifebuoy Herbal Strong Shampoo 90ml,https://media-products.airliftexpress.com/large/1c644612-5c20-47e3-ad23-e0153bb05adf_Lifebuoy%20Herbal%20Strong%20Shampoo%2090ml.jpeg,106,650 ml,11,"Leaving hair stronger and smoother, Lifebuoy Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Lifebuoy Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",4
Lifebouy Silky Soft Shampoo 175ml,https://media-products.airliftexpress.com/large/d430450e-3b37-4ab6-8974-07fadabacfc7_Lifebouy%20Silky%20Soft%20Shampoo%20175ml.jpeg,220,175 ml,45,"Leaving hair stronger and smoother,  Life Bouy Silky Soft Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Life Bouy Silky Soft Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",4
Lifebuoy Herbal Strong Shampoo 90ml,https://media-products.airliftexpress.com/large/1c644612-5c20-47e3-ad23-e0153bb05adf_Lifebuoy%20Herbal%20Strong%20Shampoo%2090ml.jpeg,106,175 ml,34,"Leaving hair stronger and smoother, Lifebuoy Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Lifebuoy Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",4
Lifebuoy Total Protect 96gm,https://media-products.airliftexpress.com/large/b6b9fc00-9185-44ba-860c-638c1b5c1e1e_8961014241204.jpg,60,96 gm,54,,4
Lifebuoy Soap Lemon Fresh 135gm,https://media-products.airliftexpress.com/large/043d0785-ed55-4e07-a641-750944adf740_Lifebuoy%20Soap%20Lemon%20Fresh%20146gm.jpg,67,96 gm,23,"Deeply nourishing and hydrating, Lifebuoy Soap is a gentle cleanser which will leave your skin feeling smooth, soft and refreshed! 


The rich lather washes away dirt and bacteria while retaining your skin's natural moisture. Give your skin the best with Lifebuoy Soap! 
Add Lifebuoy Soap to your cart now and get your delivery under 30 minutes via Airlift Express.",4
Lifebuoy Hand Wash Refill Mild Care with Cream 1L,https://media-products.airliftexpress.com/large/e92c84a3-8fdf-4593-a20f-0ad224961c9f_1130741-1.jpg,650,1 L,23,,4
Lifebuoy Herbal Strong Shampoo 90ml,https://media-products.airliftexpress.com/large/1c644612-5c20-47e3-ad23-e0153bb05adf_Lifebuoy%20Herbal%20Strong%20Shampoo%2090ml.jpeg,106,360 ml,54,"Leaving hair stronger and smoother, Lifebuoy Shampoo gently cleanses and 

conditions hair by visibly repairing damage and adding shine for a softer and more 

manageable look! Add Lifebuoy Shampoo to your cart now and receive your delivery 

within 30 minutes via Airlift Express.",4
Lifebuoy Hand Sanitizer Gel 200ml,https://media-products.airliftexpress.com/large/918dc31a-63de-43b6-918d-874a439a5fa9_450.jpg,400,200 ml,65,"Killing 99.9% of all germs, Lifebuoy Hand Sanitizer is formulated with ingredients which will leave your hands feeling smooth, soft and 
refreshed! 


If you want to protect yourself (and your loved ones) from COVID-19 or other harmful bacteria/viruses, Lifebuoy Hand Sanitizer is perfect 
for you. Add Lifebuoy Hand Sanitizer to your cart and get your delivery under 30 minutes via Airlift Express.",4
